Approved Symbol	RefSeq IDs	RefSeq(supplied by NCBI)	UCSC ID(supplied by UCSC)
A1BG	NM_130786	NM_130786	uc002qsd.4
A1BG-AS1	NR_015380	NR_015380	uc002qsg.3
A1CF	NM_014576	NM_014576	uc001jjj.3
A1S9T~withdrawn			
A2M	NM_000014	NM_000014	uc001qvk.1
A2M-AS1	NR_026971	NR_026971	uc009zgj.1
A2ML1	NM_144670	XM_011520566	uc001quz.5
A2ML1-AS1			
A2ML1-AS2			
A2MP1	NG_001067	NR_040112	uc021qum.1
A2MRAP~withdrawn			
A2MR~withdrawn			
A3GALT2	NM_001080438	NM_001080438	uc031plq.1
A4GALT	NM_017436	XM_005261643	uc003bdb.3
A4GNT	NM_016161	NM_016161	uc003ers.2
A12M1~withdrawn			
A12M2~withdrawn			
A12M3~withdrawn			
A12M4~withdrawn			
AAAS		NM_015665	uc001scr.4
AABT~withdrawn			
AAC1~withdrawn			
AAC2~withdrawn			
AACS	NM_023928	XM_005253609	uc001uhc.3
AACSP1	NR_024035	NR_135095	uc011dgl.3
AACT~withdrawn			
AADAC	NM_001086	NM_001086	uc003eze.3
AADACL2	NM_207365	NM_207365	uc003ezc.3
AADACL2-AS1		NR_110203	
AADACL3	NM_001103170	NM_001103170	uc031tpe.1
AADACL4	NM_001013630	NM_001013630	uc001auf.3
AADACP1		NR_026915	
AADAT	NM_016228	NM_182662	uc003ist.3
AAED1	NM_153698	NM_153698	uc004awm.3
AAGAB	NM_024666	NM_024666	uc002aqk.5
AAK1	NM_014911	NM_014911	uc002sfp.2
AAMDC	NM_024684	XM_011544968	uc001oyq.3
AAMP	NM_001087	NM_001302545	uc002vhk.3
AANAT	NM_001088	NM_001088	uc002jro.3
AAR2	NM_015511	NM_015511	uc002xfc.3
AARD	NM_001025357	NM_001025357	uc003yof.3
AARS	NM_001605	NM_001605	uc002eyn.1
AARS2	NM_020745	NM_020745	uc010jza.1
AARSD1	NM_001261434	NM_001261434	
AARSP1		NG_043271	
AASDH	NM_181806	NM_001286670	uc003hbn.4
AASDHPPT	NM_015423	NM_015423	uc001pjc.1
AASS	NM_005763	NM_005763	uc003vkb.3
AATBC	NR_026961	NR_026961	
AATF	NM_012138	NM_012138	uc002hni.3
AATK	NM_004920	NM_001080395	uc010dia.3
AATK-AS1		NR_027255	uc010wuk.1
AAVS1			
AA~withdrawn			
ABALON	NR_131907	NR_131907	
ABAT	NM_020686	NM_020686	uc002czc.4
ABC1~withdrawn			
ABC2~withdrawn			
ABC3~withdrawn			
ABC7~withdrawn			
ABC50~withdrawn			
ABCA1	NM_005502	NM_005502	uc004bcl.3
ABCA2	NM_001606	NM_212533	uc033dll.1
ABCA3	NM_001089	NM_001089	uc002cpy.1
ABCA4	NM_000350	NM_000350	uc001dqh.3
ABCA5	NM_018672	NM_172232	uc002jig.2
ABCA6	NM_080284	NM_080284	uc002jhw.1
ABCA7	NM_019112	NM_019112	uc002lqw.4
ABCA8	NM_007168	XM_005256938	uc010wqq.3
ABCA9	NM_172386	XM_005256934	uc002jhu.3
ABCA9-AS1		NR_126414	
ABCA10	NM_080282	NM_080282	uc010dfa.1
ABCA11P	NR_002451.2	NR_002451	uc010ibd.2
ABCA12	NM_173076	NM_015657	uc002vew.3
ABCA13	NM_152701	NM_152701	uc003toq.2
ABCA17P	NR_003574	NR_003574	uc002cqc.1
ABCB1	NM_000927	NM_000927	uc003uiz.2
ABCB2~withdrawn			
ABCB3~withdrawn			
ABCB4	NM_000443	NM_018850	uc003uiw.1
ABCB5	NM_178559	NM_001163942	uc010kuh.3
